Course Title,Rating
Autonomous Vehicle Engineering Specialization,2
"Autoridad, dirección y liderazgo",3
Avatar Psychology for Designers,1
Averaged-Switch Modeling and Simulation,1
Avoiding Bias ,1
Avoiding Data Science Pitfalls,1
Azure Devops: Introduction to CI/CD with Visual Studio,1
Azure Network Engineer: AZ-700 Exam Prep & Certification Specialization,1
Azure Networking Fundamentals,1
Azure: Create a Virtual Machine and Deploy a Web Server,1
Azure: Identity and Access Management,1
Azure: create a REST API using NodeJS Serverless Functions,1
Azure: deploy a Web Server using the Container Registry,1
"BI Foundations with SQL, ETL and Data Warehousing Specialization",2
BIM Application for Engineers,2
BIM Fundamentals for Engineers,1
Back-end Application Development Capstone Project,1
Bacteria and Chronic Infections,1
Bacterial Bioinformatics,1
Bajemos la temperatura: De la ciencia climática a la acción,2
Baseball and Americanism,1
Baseball into the Millennium,1
"Bases : Des données, des données, partout",1
Bases de Datos SQL en Azure,1
Bases de la conception Expérience Utilisateur (UX),4
Bases de la gestion de projet,1
Bases de la planification et de la gestion de projet,1
Bash Scripting and System Configuration,1
"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",1
Basic Elements of Design: Design Principles and Software Overview,1
Basic Information Literacy,2
Basic Mathematics,1
Basic Principles of Cell Signaling,2
Basic Statistics,4
Basic Statistics in Python (Correlations and T-tests),2
Basic System Programming on IBM Z,1
Basics of Cisco Networking,1
Basics of Electrical Protection System,1
Basics of Extracellular Vesicles,1
Basics of Inclusive Design for Online Education,2
Batteries and Electric Vehicles,1
"Battery Comparison, Manufacturing, and Packaging",1
Battery Pack Balancing and Power Estimation,1
Battery State-of-Charge (SOC) Estimation,1
Battery State-of-Health (SOH) Estimation,2
Battery Technologies Specialization,1
Bayesian Inference with MCMC,1
Bayesian Statistics Specialization,1
Bayesian Statistics: From Concept to Data Analysis,2
Bayesian Statistics: Techniques and Models,2
Be Your Best Creative Self,1
"Be a Leader, Develop a Leader",1
Be entrepreneurial in Cultural Industries in the digital age,1
Bearbeite deine Fotos für soziale Medien mit Easil,1
"Beauty, Form & Function: An Exploration of Symmetry",1
Become a CBRS Certified Professional Installer by Google,1
Become a Journalist: Report the News! Specialization,1
Become a Sustainable Business Change Agent Specialization,3
"Become a changemaker, build a career with purpose and impact",1
Become an EMT Specialization,1
Becoming Part of the Globalised Workplace,1
Becoming a Cybersecurity Consultant,1
Becoming a Language Friendly Teacher,2
Becoming a Sports Agent,2
Becoming a Strengths Based Leader: Leading Standout® Teams Specialization,1
Becoming a changemaker: Introduction to Social Innovation,1
Becoming an SAP Professional,1
Beer Quality Specialization,1
Beer Quality Systems,1
Beer Quality: Color & Clarity,1
Beer Quality: Flavor,1
Beer Quality: Foam,1
Beer Quality: Freshness,1
Beginnen Sie mit dem Facebook Business Manager,1
Beginner's guide to AWS Identity and Access Management (IAM),1
Beginning Custom Projects with Raspberry Pi,1
Beginning SQL Server,1
Behavior Architecture - Understanding Human Behavior ,1
Behavioral Finance,1
Behind the Scenes: Exploring EV Core Systems,1
Being Smart about Cycling Futures,1
Being a researcher (in Information Science and Technology),2
Benjamin Franklin and His World,1
Best Practices in Planning DE&I Interventions,1
Betriebssysteme und Sie: Power User werden,1
Better Business Writing in English,2
Better Learning,1
Better Writing,1
Beyond Disruption: Why Your Vision Is Essential,1
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,1
"Beyond the Financials: Insights, Analysis and Valuations",1
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,2
"Bienestar, equidad y derechos humanos",1
Big Data Analysis to a Slide Presentation,1
Big Data Analytical Platform on Alibaba Cloud ,1
Big Data Emerging Technologies,1
Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,2
Big Data Specialization,2
Big Data – Introducción al uso práctico de datos masivos  Specialization,3
"Big Data, Artificial Intelligence, and Ethics",3
"Big Data, Genes, and Medicine",1
Big History - From the Big Bang until Today,1
Bigtable: Qwik Start - Command Line,1
Biochemical Principles of Energy Metabolism,1
Bioconductor for Genomic Data Science,1
Biohacking Your Brain's Health,1
Bioinformatic Methods I,3
Bioinformatic Methods II,1
Bioinformatics Capstone: Big Data in Biology,1
Bioinformatics Specialization,4
Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,1
Biology Everywhere Foundations,1
Biology Everywhere Specialization,1
Biology Meets Programming: Bioinformatics for Beginners,4
Biología bucal,1
Biomedical Visualisation,2
Biosphere 2 Science for the Future of Our Planet,1
